tracker_theta,aoi,surface_azimuth,surface_tilt
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
8.691773685910789027e+00,7.907117807635023610e+01,9.000000000000000000e+01,8.691773685910789027e+00
7.190345551082437225e+01,3.040084191309619754e+01,9.000000000000000000e+01,7.190345551082435804e+01
5.637319568395336944e+01,3.480525550226666809e+01,9.000000000000000000e+01,5.637319568395337654e+01
3.978100119571100635e+01,3.845385495694647915e+01,9.000000000000000000e+01,3.978100119571100635e+01
2.213070444692509398e+01,4.098999578761880258e+01,9.000000000000000000e+01,2.213070444692509398e+01
3.720480259712729776e+00,4.211250394912512718e+01,9.000000000000000000e+01,3.720480259712715565e+00
9.578150917235461748e-04,4.376564274295060386e+01,9.000000000000000000e+01,9.578150917235461748e-04
1.181099088228165783e-03,4.974644481469785973e+01,9.000000000000000000e+01,1.181099088228165783e-03
1.653801814811117765e-03,5.884001533856032751e+01,9.000000000000000000e+01,1.653801814811117765e-03
2.723121030484776384e-03,6.983546785376465493e+01,9.000000000000000000e+01,2.723121030484776384e-03
7.082701919941314372e-03,8.196358225389775498e+01,9.000000000000000000e+01,7.082701919927103518e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
8.490262319497460908e+00,7.931241088715289322e+01,9.000000000000000000e+01,8.490262319497460908e+00
7.198667045407822229e+01,3.029022083634871265e+01,9.000000000000000000e+01,7.198667045407822229e+01
5.646493710499343877e+01,3.469785269616768630e+01,9.000000000000000000e+01,5.646493710499343877e+01
3.988477489712529689e+01,3.835128103288040080e+01,9.000000000000000000e+01,3.988477489712528978e+01
2.224938523312866323e+01,4.089365795613584709e+01,9.000000000000000000e+01,2.224938523312864902e+01
3.855805474268436228e+00,4.202414054731575987e+01,9.000000000000000000e+01,3.855805474268422017e+00
9.540223982895668087e-04,4.365209501166424388e+01,9.000000000000000000e+01,9.540223982895668087e-04
1.175583346793018791e-03,4.961413134028724414e+01,9.000000000000000000e+01,1.175583346778807936e-03
1.644828930722042060e-03,5.870182263912491294e+01,9.000000000000000000e+01,1.644828930722042060e-03
2.703037164465627029e-03,6.969783357544704927e+01,9.000000000000000000e+01,2.703037164465627029e-03
6.964656954806969225e-03,8.182919609316979859e+01,9.000000000000000000e+01,6.964656954806969225e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
8.300186528350295134e+00,7.953948582363078401e+01,9.000000000000000000e+01,8.300186528350280923e+00
