Year,Month,Day,Hour,Minute,air pressure at 40m (Pa),temperature at 100m (C),temperature at 120m (C),temperature at 40m (C),temperature at 80m (C),wind direction at 100m (deg),dir,wind direction at 40m (deg),wind direction at 80m (deg),speed at 100m (m/s),speed,wind speed at 40m (m/s),wind speed at 80m (m/s),air pressure at 100m (Pa)
2014,1,1,0,30,100330.0,23.080000000000002,23.490000000000002,21.580000000000002,22.63,25.16,25.19,37.67,25.82,3.94,4.67,1.2,3.13,99640.0
2014,1,1,1,30,100350.0,22.23,22.54,21.21,21.900000000000002,40.82,39.25,52.63,42.96,4.1,4.4,2.27,3.69,99660.0
2014,1,1,2,30,100310.0,22.39,22.72,21.2,22.05,55.43,58.76,52.68,52.410000000000004,4.67,4.4,4.08,4.9,99620.0
2014,1,1,3,30,100300.0,21.96,22.36,20.98,21.57,72.52,82.91,57.08,63.45,4.0600000000000005,3.77,4.37,4.45,99610.0
2014,1,1,4,30,100300.0,22.080000000000002,22.5,21.05,21.67,82.43,95.72,57.22,70.11,3.72,3.5700000000000003,4.05,4.05,99610.0
2014,1,1,5,30,100750.0,21.67,21.91,20.97,21.42,40.58,39.03,55.13,43.35,5.14,5.97,2.35,4.26,100050.0
2014,1,1,6,30,100740.0,21.44,21.77,20.51,21.09,43.43,45.29,47.84,42.5,6.05,6.38,3.43,5.49,100040.0
2014,1,1,7,30,100740.0,21.79,22.1,20.84,21.490000000000002,50.89,56.620000000000005,44.56,46.28,5.46,5.2700000000000005,4.13,5.54,100040.0
2014,1,1,8,30,100810.0,21.8,22.27,21.53,21.41,57.46,65.13,49.9,50.63,4.78,4.88,3.44,4.62,100110.0
2014,1,1,9,30,100860.0,22.81,22.72,23.5,22.990000000000002,59.78,63.54,58.14,57.82,3.9,4.05,3.39,3.72,100160.0
2014,1,1,10,30,100870.0,25.080000000000002,24.86,25.830000000000002,25.3,68.81,70.31,66.37,67.61,2.5100000000000002,2.5100000000000002,2.44,2.5,100190.0
2014,1,1,11,30,100830.0,27.060000000000002,26.830000000000002,27.84,27.3,96.58,97.85000000000001,93.09,95.33,0.99,1.0,0.9400000000000001,0.97,100150.0
